run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
80,s04_vel_pi_staircase,g000009_c6,9,,,,,,12.31862342628673,3.409208719753477,,,,,,,10.9959,15.2386,8.7084,0.0,0.5895,13.0,13.0,,,,,,2.86809,PASS,
81,s04_vel_pi_staircase,g000009_c7,9,,,,,,0.4556491682813572,0.0016014263721966715,,,,,,,6.4303,15.2492,7.2447,0.0,0.4701,13.0,13.0,,,,,,2.05333,PASS,
82,s04_vel_pi_staircase,g000010_c0,10,,,,,,3.2128343524236347,0.003372594972704354,,,,,,,9.8061,15.2412,7.7014,0.0,0.5647,13.0,13.0,,,,,,2.67471,PASS,
83,s04_vel_pi_staircase,g000010_c1,10,,,,,,0.3104012878199307,0.0035026044317218808,,,,,,,6.1012,15.2584,7.2327,0.0,0.4954,0.0,13.0,,,,,,2.09632,PASS,
84,s04_vel_pi_staircase,g000010_c2,10,,,,,,0.8233809132180767,0.001018388934822653,,,,,,,7.5248,15.2386,7.4572,0.0,0.5339,13.0,13.0,,,,,,2.35418,PASS,
85,s04_vel_pi_staircase,g000010_c3,10,,,,,,1.7244761036129181,0.11626599891941526,,,,,,,9.4848,15.2411,8.1168,0.0,0.6049,13.0,13.0,,,,,,2.76318,PASS,
86,s04_vel_pi_staircase,g000010_c4,10,,,,,,7.807724837007924,0.14124883757369405,,,,,,,10.6373,15.2488,7.8905,0.0,0.5653,13.0,13.0,,,,,,2.75963,PASS,
87,s04_vel_pi_staircase,g000010_c5,10,,,,,,0.8036376534085672,0.0031371985034296525,,,,,,,7.486,15.2341,7.6584,0.0,0.5654,13.0,13.0,,,,,,2.4448,PASS,
88,s04_vel_pi_staircase,g000010_c6,10,,,,,,0.17701750415310932,0.039188546988286034,,,,,,,6.0504,15.0268,7.5464,0.0,0.5105,0.0,13.0,,,,,,2.13654,PASS,
89,s04_vel_pi_staircase,g000010_c7,10,,,,,,0.49240935042771977,0.008862841386762094,,,,,,,6.5391,15.2222,7.3037,0.0,0.465,13.0,13.0,,,,,,2.04891,PASS,
90,s04_vel_pi_staircase,g000011_c0,11,,,,,,1.9960966222619527,0.007222164762808018,,,,,,,9.534,15.2415,7.8987,0.0,0.6117,13.0,13.0,,,,,,2.7885,PASS,
91,s04_vel_pi_staircase,g000011_c1,11,,,,,,2.289257925815806,0.010857773216353511,,,,,,,9.752,15.2504,7.6484,0.0,0.539,13.0,13.0,,,,,,2.5922,PASS,
92,s04_vel_pi_staircase,g000011_c2,11,,,,,,0.13979158205568315,0.06739828979738735,,,,,,,6.5146,13.7806,8.0483,0.0,0.5285,0.0,13.0,,,,,,2.23696,PASS,
93,s04_vel_pi_staircase,g000011_c3,11,,,,,,1.7150526648809916,0.0028009033944668533,,,,,,,9.2727,15.2638,7.8554,0.0,0.6206,13.0,13.0,,,,,,2.78907,PASS,
94,s04_vel_pi_staircase,g000011_c4,11,,,,,,0.3714436596817616,0.00720277084463513,,,,,,,6.3121,15.2492,7.2867,0.0,0.479,1.192,13.0,,,,,,2.06821,PASS,
95,s04_vel_pi_staircase,g000011_c5,11,,,,,,0.11497903655261564,0.00934567678641314,,,,,,,4.906,11.4547,7.4976,0.0,0.6962,0.0,13.0,,,,,,2.5792,PASS,
96,s04_vel_pi_staircase,g000011_c6,11,,,,,,2.3358290779033015,0.014078348434978917,,,,,,,9.8648,15.2501,7.661,0.0,0.5438,13.0,13.0,,,,,,2.61788,PASS,
97,s04_vel_pi_staircase,g000011_c7,11,,,,,,2.738534086019765,0.016431708280142905,,,,,,,9.8964,15.2541,7.7593,0.0,0.5618,13.0,13.0,,,,,,2.67504,PASS,
98,s04_vel_pi_staircase,g000012_c0,12,,,,,,0.532204782575103,0.013467698337678774,,,,,,,6.6213,15.244,7.3288,0.0,0.4622,13.0,13.0,,,,,,2.04873,PASS,
99,s04_vel_pi_staircase,g000012_c1,12,,,,,,2.7043020608594155,0.015836152971393708,,,,,,,9.7797,15.2513,7.7566,0.0,0.5634,13.0,13.0,,,,,,2.66817,PASS,
100,s04_vel_pi_staircase,g000012_c2,12,,,,,,0.14840439677218809,0.009302357915696075,,,,,,,5.2768,13.8826,7.2852,0.0,0.6081,0.0,13.0,,,,,,2.35198,PASS,
101,s04_vel_pi_staircase,g000012_c3,12,,,,,,0.20950115721227633,0.0014557049163146617,,,,,,,5.6254,15.1967,7.1772,0.0,0.5532,0.0,13.0,,,,,,2.22214,PASS,
