run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
103,s05_vel_pi_leg_cycling,g000012_c5,12,,,,,,0.27095400997342034,0.024549138868401724,,,,,,,7.4975,30.3158,31.7255,0.0,4.6145,0.01855,0.274,13.0,,,,,,14.59325,PASS,
104,s05_vel_pi_leg_cycling,g000012_c6,12,,,,,,0.04958866527880044,0.0021538203067988987,,,,,,,3.6094,8.2652,9.2211,0.0,0.9594,0.017561,0.42,13.0,,,,,,3.23914,PASS,
105,s05_vel_pi_leg_cycling,g000012_c7,12,,,,,,0.1332609811971662,0.007144718513586322,,,,,,,4.8708,14.9183,6.8828,0.0,0.5823,0.017622,0.362,13.0,,,,,,2.23398,PASS,
106,s05_vel_pi_leg_cycling,g000013_c0,13,,,,,,0.05999235495936686,0.03881725457691162,,,,,,,4.1362,10.2818,6.5513,0.0,0.6903,0.017565,0.41,13.0,,,,,,2.48452,PASS,
107,s05_vel_pi_leg_cycling,g000013_c1,13,,,,,,0.21454815573164163,0.0029685430812303863,,,,,,,6.6017,22.1012,21.0129,0.0,3.4522,0.018144,0.312,13.0,,,,,,11.01677,PASS,
108,s05_vel_pi_leg_cycling,g000013_c2,13,,,,,,0.1629957125447877,0.010194983524054941,,,,,,,5.3376,19.7021,7.1127,0.0,0.6116,0.01764,0.346,13.0,,,,,,2.36856,PASS,
109,s05_vel_pi_leg_cycling,g000013_c3,13,,,,,,0.07389750948061405,0.006292223211746027,,,,,,,4.0681,10.308,7.0357,0.0,0.7721,0.017578,0.402,13.0,,,,,,2.72311,PASS,
110,s05_vel_pi_leg_cycling,g000013_c4,13,,,,,,0.01447267290166906,0.013894036651886616,,,,,,,2.7796,5.4668,12.4703,0.0,1.2659,0.017535,0.44,13.0,,,,,,4.07566,PASS,
111,s05_vel_pi_leg_cycling,g000013_c5,13,,,,,,1.077734715809393,0.006084709192456945,,,,,,,17.7533,49.4722,60.6686,0.0,6.5156,0.019727,13.0,13.0,,,,,,21.32213,PASS,
112,s05_vel_pi_leg_cycling,g000013_c6,13,,,,,,0.16706126192489681,0.003313657360911055,,,,,,,5.2986,17.9696,7.3068,0.0,0.6739,0.017633,0.342,13.0,,,,,,2.55156,PASS,
113,s05_vel_pi_leg_cycling,g000013_c7,13,,,,,,0.08657072519998908,0.03611784125602723,,,,,,,4.5436,12.185,6.8159,0.0,0.6201,0.017585,0.396,13.0,,,,,,2.31466,PASS,
114,s05_vel_pi_leg_cycling,g000014_c0,14,,,,,,0.13770910682605986,0.04157843952594269,,,,,,,5.29,15.817,7.236,0.0,0.5258,0.017624,0.362,13.0,,,,,,2.1064,PASS,
115,s05_vel_pi_leg_cycling,g000014_c1,14,,,,,,0.5522562323431834,0.0013502136378747286,,,,,,,14.6374,49.3959,76.1363,0.0,7.4027,0.020227,13.0,13.0,,,,,,23.67184,PASS,
116,s05_vel_pi_leg_cycling,g000014_c2,14,,,,,,0.07703050430040978,0.004137311099287158,,,,,,,4.1055,10.4868,7.0341,0.0,0.768,0.01758,0.4,13.0,,,,,,2.71455,PASS,
117,s05_vel_pi_leg_cycling,g000014_c3,14,,,,,,0.19420806686791436,0.008474218607243678,,,,,,,6.3974,20.4558,20.7942,0.0,3.4295,0.018121,0.324,13.0,,,,,,10.92824,PASS,
118,s05_vel_pi_leg_cycling,g000014_c4,14,,,,,,0.07941859016829401,0.01486636216445735,,,,,,,4.2107,10.9524,6.7483,0.0,0.7091,0.017577,0.4,13.0,,,,,,2.54837,PASS,
119,s05_vel_pi_leg_cycling,g000014_c5,14,,,,,,0.07273094969169824,0.020082642027161455,,,,,,,4.1476,10.5922,6.6914,0.0,0.7124,0.017577,0.404,13.0,,,,,,2.55196,PASS,
120,s05_vel_pi_leg_cycling,g000014_c6,14,,,,,,0.06488314567358708,0.008238444516814526,,,,,,,3.9262,9.6739,7.4234,0.0,0.8072,0.017569,0.408,13.0,,,,,,2.81422,PASS,
121,s05_vel_pi_leg_cycling,g000014_c7,14,,,,,,0.1398620148296212,0.010987161587554218,,,,,,,4.9771,15.4465,6.9345,0.0,0.5629,0.017625,0.362,13.0,,,,,,2.18641,PASS,
